Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000025980,-0.464571995011234,7.58707813611669,14.468177984223,0.000142547450005941,0.000464064794658619
ENSMUSG00000039621,0.326665057659673,8.99703507236519,14.4639022794113,0.000142871403255556,0.00046500294432988
ENSMUSG00000054920,-0.336880092610597,6.61943571783329,14.4594909269417,0.000143206410953801,0.000465937297918808
ENSMUSG00000063931,0.293387847956818,6.28364617401434,14.4591782461421,0.00014323018661016,0.000465937297918808
ENSMUSG00000035172,-0.778948312345013,2.95100434585237,14.4557029640207,0.000143494708214415,0.000466680987976611
ENSMUSG00000001313,0.37713230227896,5.33414782427055,14.4519250916203,0.000143782819557458,0.000467501006497055
ENSMUSG00000036968,-0.443907254922403,4.45536273875771,14.4486498731586,0.000144033068409374,0.000468197538031072
ENSMUSG00000023938,-0.468203562311542,3.92288246351738,14.4472624001697,0.000144139212933236,0.000468425409172378
ENSMUSG00000032475,-0.358509142980734,6.15797208967802,14.4299178550729,0.000145472771658445,0.000472641035118288
ENSMUSG00000035559,-0.447325471110332,4.98856493773584,14.4246062730827,0.000145883639348737,0.000473857479874077
ENSMUSG00000062115,0.474357194822878,4.9985072829259,14.4177733510888,0.00014641390640497,0.000475461051384057
ENSMUSG00000020911,0.333241662706211,9.05873234531344,14.4040156658361,0.000147487463066386,0.000478827646767614
ENSMUSG00000058756,0.658609018972592,4.74563343053134,14.3999793123771,0.000147803934093351,0.000479735246622673
ENSMUSG00000064289,0.429598989061185,5.63296669952919,14.3962134920046,0.000148099810471056,0.000480575564764504
ENSMUSG00000032386,-0.357009456482137,5.36653329674375,14.3944002315615,0.000148242489005303,0.000480918469074618
ENSMUSG00000034675,1.55851009704851,0.202301412464094,14.3808450295235,0.000149313490168424,0.000484272053463649
ENSMUSG00000031109,-0.549839463937244,3.76566983957707,14.3786660134923,0.000149486380428551,0.000484711826359643
ENSMUSG00000042699,0.385909210150235,8.0846141521337,14.3775498884675,0.00014957501549534,0.000484878249283473
ENSMUSG00000044037,0.452256240232152,4.89841022932551,14.3719618652076,0.000150019574710449,0.000486198102976806
